Subject,Partner,SubTrial,Sex,Age,TrialType,Response,RT,RealOutcome,ScheduledOutcome,GambleAmount,Amount1,Amount2,Certain
153,0,21,1,19,1,1,258,0,0,-5.63,5.00,-5.63,0.00
153,0,22,1,19,1,1,399,0,0,-3.00,6.00,-3.00,0.00
153,0,23,1,19,1,,0,,1,10.00,10.00,-16.25,0.00
153,0,24,1,19,1,1,466,1,1,5.00,5.00,-2.50,0.00
153,0,25,1,19,0,0,537,3,0,0.00,28.00,0.00,13.00
153,0,26,1,19,1,,0,,1,10.00,10.00,-6.25,0.00
153,0,27,1,19,0,1,604,0,0,0.00,12.00,0.00,5.00
153,0,28,1,19,1,1,586,0,0,-12.00,12.00,-12.00,0.00
153,0,29,1,19,1,0,566,3,1,4.00,4.00,-6.00,0.00
153,0,30,1,19,1,0,316,3,1,6.00,6.00,-7.50,0.00
153,-1,1,1,19,1,0,516,3,1,8.00,8.00,-9.00,0.00
153,-1,2,1,19,1,1,226,0,0,-3.75,2.00,-3.75,0.00
153,-1,3,1,19,0,1,407,1,1,12.00,12.00,0.00,4.00
153,-1,4,1,19,0,0,525,3,0,0.00,22.00,0.00,13.00
153,-1,5,1,19,1,1,819,0,0,-4.38,5.00,-4.38,0.00
153,-1,6,1,19,1,1,744,0,0,-18.75,10.00,-18.75,0.00
153,-1,7,1,19,1,0,398,3,1,9.00,9.00,-9.00,0.00
153,-1,8,1,19,1,1,515,0,0,-1.25,2.00,-1.25,0.00
153,-1,9,1,19,1,1,281,1,1,4.00,4.00,-1.00,0.00
153,-1,10,1,19,1,0,414,3,0,-13.00,8.00,-13.00,0.00
153,-1,11,1,19,1,1,324,1,1,8.00,8.00,-2.00,0.00
153,-1,12,1,19,1,1,578,0,0,-12.00,6.00,-12.00,0.00
153,-1,13,1,19,1,,0,,0,-9.00,12.00,-9.00,0.00
153,-1,14,1,19,1,,0,,1,6.00,6.00,-9.00,0.00
153,-1,15,1,19,0,0,819,3,1,3.25,3.25,0.00,1.00
153,-1,16,1,19,0,0,1353,3,1,7.00,7.00,0.00,3.00
153,-1,17,1,19,1,1,462,0,0,-7.00,8.00,-7.00,0.00
153,-1,18,1,19,0,1,1036,1,1,25.00,25.00,0.00,9.00
153,-1,19,1,19,0,0,1122,3,0,0.00,8.00,0.00,4.25
153,-1,20,1,19,1,1,438,0,0,-8.75,10.00,-8.75,0.00
153,-1,21,1,19,1,1,828,1,1,4.00,4.00,-8.00,0.00
153,-1,22,1,19,0,0,298,3,0,0.00,17.00,0.00,9.00
153,-1,23,1,19,1,0,799,3,1,12.00,12.00,-18.00,0.00
153,-1,24,1,19,0,0,1493,3,1,10.00,10.00,0.00,6.00
153,-1,25,1,19,0,,0,,0,0.00,13.00,0.00,6.00
153,-1,26,1,19,1,0,345,3,0,-15.75,9.00,-15.75,0.00
153,-1,27,1,19,1,1,742,1,1,5.00,5.00,-8.13,0.00
153,-1,28,1,19,1,0,644,3,1,4.00,4.00,-4.00,0.00
153,-1,29,1,19,0,,0,,1,4.00,4.00,0.00,2.25
153,-1,30,1,19,1,1,727,0,0,-5.00,5.00,-5.00,0.00
153,-1,1,1,19,0,1,460,0,0,0.00,30.00,0.00,12.00
153,-1,2,1,19,1,1,1056,0,0,-6.00,12.00,-6.00,0.00
153,-1,3,1,19,1,0,1702,3,1,4.00,4.00,-5.00,0.00
153,-1,4,1,19,0,0,491,3,0,0.00,17.00,0.00,10.00
153,-1,5,1,19,1,1,329,1,1,2.00,2.00,-3.25,0.00
153,-1,6,1,19,1,0,430,3,0,-6.00,6.00,-6.00,0.00
153,-1,7,1,19,1,1,492,1,1,6.00,6.00,-4.50,0.00
153,-1,8,1,19,1,1,601,0,0,-2.00,4.00,-2.00,0.00
153,-1,9,1,19,0,0,823,3,1,4.00,4.00,0.00,2.00
153,-1,10,1,19,1,1,564,1,1,9.00,9.00,-4.50,0.00
153,-1,11,1,19,1,0,1187,3,0,-24.00,12.00,-24.00,0.00
153,-1,12,1,19,0,1,1016,1,1,22.00,22.00,0.00,10.00
153,-1,13,1,19,1,1,966,1,1,4.00,4.00,-7.00,0.00
153,-1,14,1,19,1,,0,,1,2.00,2.00,-0.75,0.00
153,-1,15,1,19,1,1,432,0,0,-2.25,2.00,-2.25,0.00
153,-1,16,1,19,1,0,478,3,0,-9.38,5.00,-9.38,0.00
153,-1,17,1,19,1,1,99,0,0,-15.00,8.00,-15.00,0.00
153,-1,18,1,19,1,1,706,1,1,8.00,8.00,-5.00,0.00
153,-1,19,1,19,1,0,319,3,1,10.00,10.00,-13.75,0.00
153,-1,20,1,19,0,1,949,0,0,0.00,8.00,0.00,3.00
153,-1,21,1,19,1,1,107,1,1,8.00,8.00,-6.00,0.00
153,-1,22,1,19,0,,0,,1,13.00,13.00,0.00,5.00
153,-1,23,1,19,0,0,815,3,1,24.00,24.00,0.00,12.00
153,-1,24,1,19,1,0,524,3,0,-18.00,9.00,-18.00,0.00
153,-1,25,1,19,0,0,619,3,0,0.00,7.00,0.00,4.00
153,-1,26,1,19,1,1,512,0,0,-3.75,10.00,-3.75,0.00
153,-1,27,1,19,1,1,1469,1,1,5.00,5.00,-3.13,0.00
153,-1,28,1,19,1,1,499,0,0,-15.00,12.00,-15.00,0.00
153,-1,29,1,19,1,0,680,3,0,-10.50,6.00,-10.50,0.00
153,-1,30,1,19,0,0,621,3,1,11.00,11.00,0.00,6.00
153,-1,1,1,19,1,1,213,1,1,9.00,9.00,-11.25,0.00
153,-1,2,1,19,1,,0,,1,6.00,6.00,-7.50,0.00
153,-1,3,1,19,1,0,568,3,0,-21.00,12.00,-21.00,0.00
153,-1,4,1,19,0,1,1085,1,1,19.00,19.00,0.00,8.00
153,-1,5,1,19,0,0,394,3,0,0.00,12.00,0.00,5.00
153,-1,6,1,19,1,0,912,3,0,-13.50,9.00,-13.50,0.00
153,-1,7,1,19,1,1,1126,1,1,10.00,10.00,-16.25,0.00
153,-1,8,1,19,1,1,644,0,0,-3.00,6.00,-3.00,0.00
153,-1,9,1,19,1,0,1138,3,0,-12.00,12.00,-12.00,0.00
153,-1,10,1,19,1,,0,,1,5.00,5.00,-6.88,0.00
153,-1,11,1,19,1,1,701,0,0,-2.75,2.00,-2.75,0.00
153,-1,12,1,19,1,1,537,0,0,-3.00,12.00,-3.00,0.00
153,-1,13,1,19,1,0,639,3,1,5.00,5.00,-2.50,0.00
153,-1,14,1,19,1,1,556,0,0,-5.63,5.00,-5.63,0.00
153,-1,15,1,19,1,1,298,0,0,-3.00,4.00,-3.00,0.00
153,-1,16,1,19,1,1,416,1,1,4.00,4.00,-6.00,0.00
153,-1,17,1,19,0,0,477,3,1,5.00,5.00,0.00,2.00
153,-1,18,1,19,1,1,83,1,1,9.00,9.00,-2.25,0.00
153,-1,19,1,19,0,0,712,3,0,0.00,26.00,0.00,10.00
153,-1,20,1,19,1,1,1782,1,1,6.00,6.00,-1.50,0.00
153,-1,21,1,19,1,1,436,1,1,10.00,10.00,-6.25,0.00
153,-1,22,1,19,1,0,514,3,0,-6.75,9.00,-6.75,0.00
153,-1,23,1,19,1,1,800,1,1,8.00,8.00,-3.00,0.00
153,-1,24,1,19,1,0,293,3,0,-11.25,10.00,-11.25,0.00
153,-1,25,1,19,0,0,298,3,1,5.00,5.00,0.00,3.00
153,-1,26,1,19,1,1,431,1,1,2.00,2.00,-1.75,0.00
153,-1,27,1,19,0,1,437,0,0,0.00,28.00,0.00,13.00
153,-1,28,1,19,1,,0,,1,8.00,8.00,-11.00,0.00
153,-1,29,1,19,0,0,665,3,0,0.00,25.00,0.00,10.00
153,-1,30,1,19,1,1,583,0,0,-1.88,5.00,-1.88,0.00
153,1,1,1,19,1,1,112,0,0,-3.75,2.00,-3.75,0.00
153,1,2,1,19,0,1,525,1,1,17.00,17.00,0.00,9.00
153,1,3,1,19,1,0,267,3,0,-15.75,9.00,-15.75,0.00
153,1,4,1,19,1,1,311,0,0,-8.75,10.00,-8.75,0.00
153,1,5,1,19,0,0,349,3,1,3.25,3.25,0.00,1.00
153,1,6,1,19,1,1,594,0,0,-12.00,6.00,-12.00,0.00
153,1,7,1,19,1,0,448,3,1,6.00,6.00,-9.00,0.00
153,1,8,1,19,1,1,341,1,1,12.00,12.00,-18.00,0.00
153,1,9,1,19,1,0,267,3,1,9.00,9.00,-9.00,0.00
153,1,10,1,19,0,0,330,3,0,0.00,13.00,0.00,6.00
153,1,11,1,19,0,0,247,3,0,0.00,22.00,0.00,13.00
153,1,12,1,19,0,0,541,3,1,7.00,7.00,0.00,3.00
153,1,13,1,19,1,1,842,1,1,5.00,5.00,-5.00,0.00
153,1,14,1,19,1,1,1455,0,0,-9.00,12.00,-9.00,0.00
153,1,15,1,19,1,1,469,1,1,4.00,4.00,-4.00,0.00
153,1,16,1,19,0,0,284,3,0,0.00,8.00,0.00,4.25
153,1,17,1,19,0,1,480,1,1,10.00,10.00,0.00,6.00
153,1,18,1,19,1,1,446,0,0,-13.00,8.00,-13.00,0.00
153,1,19,1,19,0,1,299,0,0,0.00,25.00,0.00,9.00
153,1,20,1,19,1,,0,,1,4.00,4.00,-8.00,0.00
153,1,21,1,19,1,1,367,0,0,-1.25,2.00,-1.25,0.00
153,1,22,1,19,1,0,780,3,1,4.00,4.00,-1.00,0.00
153,1,23,1,19,1,,0,,1,8.00,8.00,-9.00,0.00
153,1,24,1,19,1,1,328,0,0,-18.75,10.00,-18.75,0.00
153,1,25,1,19,0,0,613,3,0,0.00,12.00,0.00,4.00
153,1,26,1,19,1,1,1011,1,1,8.00,8.00,-2.00,0.00
153,1,27,1,19,1,0,433,3,0,-7.00,8.00,-7.00,0.00
153,1,28,1,19,0,,0,,1,4.00,4.00,0.00,2.25
153,1,29,1,19,1,1,1188,1,1,5.00,5.00,-8.13,0.00
153,1,30,1,19,1,1,451,0,0,-4.38,5.00,-4.38,0.00
153,1,1,1,19,0,1,1877,0,0,0.00,17.00,0.00,10.00
153,1,2,1,19,1,1,402,1,1,5.00,5.00,-3.13,0.00
153,1,3,1,19,1,,0,,1,9.00,9.00,-4.50,0.00
153,1,4,1,19,1,,0,,0,-9.38,5.00,-9.38,0.00
153,1,5,1,19,1,1,523,0,0,-18.00,9.00,-18.00,0.00
153,1,6,1,19,1,0,1401,3,1,2.00,2.00,-3.25,0.00
153,1,7,1,19,0,1,791,0,0,0.00,7.00,0.00,4.00
153,1,8,1,19,1,,0,,0,-3.75,10.00,-3.75,0.00
153,1,9,1,19,1,0,810,3,1,12.00,12.00,-24.00,0.00
153,1,10,1,19,1,1,496,1,1,4.00,4.00,-7.00,0.00
153,1,11,1,19,0,0,446,3,0,0.00,11.00,0.00,6.00
153,1,12,1,19,1,1,547,0,0,-13.75,10.00,-13.75,0.00
153,1,13,1,19,1,0,624,3,1,2.00,2.00,-0.75,0.00
153,1,14,1,19,1,1,597,1,1,8.00,8.00,-5.00,0.00
153,1,15,1,19,1,,0,,0,-15.00,8.00,-15.00,0.00
153,1,16,1,19,1,1,345,0,0,-5.00,4.00,-5.00,0.00
153,1,17,1,19,0,,0,,1,13.00,13.00,0.00,5.00
153,1,18,1,19,1,1,324,0,0,-2.25,2.00,-2.25,0.00
153,1,19,1,19,1,0,962,3,1,8.00,8.00,-6.00,0.00
153,1,20,1,19,0,0,279,3,1,4.00,4.00,0.00,2.00
153,1,21,1,19,0,0,293,3,1,24.00,24.00,0.00,12.00
153,1,22,1,19,1,0,931,3,0,-15.00,12.00,-15.00,0.00
153,1,23,1,19,0,1,537,1,1,22.00,22.00,0.00,10.00
153,1,24,1,19,0,1,806,0,0,0.00,30.00,0.00,12.00
153,1,25,1,19,1,0,572,3,0,-2.00,4.00,-2.00,0.00
153,1,26,1,19,1,1,674,1,1,6.00,6.00,-4.50,0.00
153,1,27,1,19,1,0,310,3,0,-6.00,6.00,-6.00,0.00
153,1,28,1,19,1,0,523,3,1,6.00,6.00,-10.50,0.00
153,1,29,1,19,0,,0,,0,0.00,8.00,0.00,3.00
153,1,30,1,19,1,1,727,1,1,12.00,12.00,-6.00,0.00
153,1,1,1,19,1,1,1019,1,1,12.00,12.00,-21.00,0.00
153,1,2,1,19,0,0,568,3,0,0.00,28.00,0.00,13.00
153,1,3,1,19,1,1,830,1,1,6.00,6.00,-1.50,0.00
153,1,4,1,19,1,1,1220,0,0,-11.00,8.00,-11.00,0.00
153,1,5,1,19,1,0,947,3,0,-3.00,6.00,-3.00,0.00
153,1,6,1,19,0,0,304,3,1,25.00,25.00,0.00,10.00
153,1,7,1,19,1,0,549,3,0,-11.25,10.00,-11.25,0.00
153,1,8,1,19,1,1,627,0,0,-1.88,5.00,-1.88,0.00
153,1,9,1,19,1,1,1072,1,1,5.00,5.00,-2.50,0.00
153,1,10,1,19,1,0,564,3,0,-13.50,9.00,-13.50,0.00
153,1,11,1,19,0,0,435,3,1,19.00,19.00,0.00,8.00
153,1,12,1,19,1,,0,,1,9.00,9.00,-2.25,0.00
153,1,13,1,19,1,1,294,0,0,-2.75,2.00,-2.75,0.00
153,1,14,1,19,1,1,259,1,1,10.00,10.00,-6.25,0.00
153,1,15,1,19,1,0,697,3,1,4.00,4.00,-6.00,0.00
153,1,16,1,19,1,1,334,0,0,-3.00,12.00,-3.00,0.00
153,1,17,1,19,1,1,676,1,1,10.00,10.00,-16.25,0.00
153,1,18,1,19,0,1,410,0,0,0.00,12.00,0.00,5.00
153,1,19,1,19,1,,0,,0,-11.25,9.00,-11.25,0.00
153,1,20,1,19,1,1,1037,1,1,4.00,4.00,-3.00,0.00
153,1,21,1,19,1,0,331,3,1,5.00,5.00,-6.88,0.00
153,1,22,1,19,1,1,312,0,0,-6.75,9.00,-6.75,0.00
153,1,23,1,19,1,0,341,3,0,-12.00,12.00,-12.00,0.00
153,1,24,1,19,1,1,723,1,1,2.00,2.00,-1.75,0.00
153,1,25,1,19,0,0,273,3,0,0.00,5.00,0.00,3.00
153,1,26,1,19,0,1,494,1,1,5.00,5.00,0.00,2.00
153,1,27,1,19,0,0,332,3,0,0.00,26.00,0.00,10.00
153,1,28,1,19,1,1,442,0,0,-5.63,5.00,-5.63,0.00
153,1,29,1,19,1,0,455,3,1,6.00,6.00,-7.50,0.00
153,1,30,1,19,1,1,349,1,1,8.00,8.00,-3.00,0.00
154,0,1,1,20,0,0,1118,3,1,10.00,10.00,0.00,6.00
154,0,2,1,20,1,1,308,0,0,-15.75,9.00,-15.75,0.00
154,0,3,1,20,1,,0,,0,-8.75,10.00,-8.75,0.00
154,0,4,1,20,1,,0,,1,8.00,8.00,-2.00,0.00
154,0,5,1,20,1,1,765,0,0,-12.00,6.00,-12.00,0.00
154,0,6,1,20,1,0,842,3,0,-18.75,10.00,-18.75,0.00
154,0,7,1,20,1,,0,,1,5.00,5.00,-8.13,0.00
154,0,8,1,20,0,0,693,3,0,0.00,12.00,0.00,4.00
154,0,9,1,20,1,0,738,3,1,9.00,9.00,-9.00,0.00
154,0,10,1,20,0,0,776,3,0,0.00,22.00,0.00,13.00
154,0,11,1,20,1,1,941,0,0,-7.00,8.00,-7.00,0.00
154,0,12,1,20,1,0,666,3,1,4.00,4.00,-8.00,0.00
154,0,13,1,20,0,0,1360,3,1,25.00,25.00,0.00,9.00
154,0,14,1,20,1,0,1277,3,0,-3.75,2.00,-3.75,0.00
154,0,15,1,20,1,1,843,1,1,2.00,2.00,-1.25,0.00
154,0,16,1,20,1,1,657,1,1,6.00,6.00,-9.00,0.00
154,0,17,1,20,0,0,94,3,1,13.00,13.00,0.00,6.00
154,0,18,1,20,1,1,676,0,0,-4.00,4.00,-4.00,0.00
154,0,19,1,20,0,0,1210,3,1,7.00,7.00,0.00,3.00
154,0,20,1,20,0,1,840,1,1,3.25,3.25,0.00,1.00
154,0,21,1,20,1,0,126,3,1,4.00,4.00,-1.00,0.00
154,0,22,1,20,0,1,483,0,0,0.00,8.00,0.00,4.25
154,0,23,1,20,0,1,1194,0,0,0.00,17.00,0.00,9.00
154,0,24,1,20,1,0,1006,3,1,12.00,12.00,-18.00,0.00
154,0,25,1,20,1,1,628,0,0,-5.00,5.00,-5.00,0.00
154,0,26,1,20,0,1,537,1,1,4.00,4.00,0.00,2.25
154,0,27,1,20,1,0,999,3,0,-9.00,12.00,-9.00,0.00
154,0,28,1,20,1,0,1181,3,1,8.00,8.00,-9.00,0.00
154,0,29,1,20,1,1,667,0,0,-4.38,5.00,-4.38,0.00
154,0,30,1,20,1,0,369,3,0,-13.00,8.00,-13.00,0.00
154,0,1,1,20,1,0,841,3,0,-2.25,2.00,-2.25,0.00
154,0,2,1,20,1,0,527,3,1,6.00,6.00,-4.50,0.00
154,0,3,1,20,1,0,1020,3,1,2.00,2.00,-3.25,0.00
154,0,4,1,20,0,1,593,0,0,0.00,22.00,0.00,10.00
154,0,5,1,20,1,1,975,1,1,9.00,9.00,-4.50,0.00
154,0,6,1,20,0,1,996,1,1,17.00,17.00,0.00,10.00
154,0,7,1,20,0,1,522,1,1,4.00,4.00,0.00,2.00
154,0,8,1,20,1,0,575,3,0,-2.00,4.00,-2.00,0.00
154,0,9,1,20,0,1,581,1,1,11.00,11.00,0.00,6.00
154,0,10,1,20,0,1,843,0,0,0.00,7.00,0.00,4.00
154,0,11,1,20,1,1,961,0,0,-3.75,10.00,-3.75,0.00
154,0,12,1,20,1,0,38,3,1,12.00,12.00,-24.00,0.00
154,0,13,1,20,1,1,732,0,0,-10.50,6.00,-10.50,0.00
154,0,14,1,20,1,0,730,3,0,-9.38,5.00,-9.38,0.00
154,0,15,1,20,1,1,640,1,1,8.00,8.00,-5.00,0.00
154,0,16,1,20,1,1,398,1,1,5.00,5.00,-3.13,0.00
154,0,17,1,20,0,1,1323,0,0,0.00,30.00,0.00,12.00
154,0,18,1,20,1,0,993,3,1,4.00,4.00,-7.00,0.00
154,0,19,1,20,1,0,511,3,1,10.00,10.00,-13.75,0.00
154,0,20,1,20,1,0,908,3,0,-15.00,8.00,-15.00,0.00
154,0,21,1,20,0,1,578,1,1,24.00,24.00,0.00,12.00
154,0,22,1,20,1,0,895,3,0,-15.00,12.00,-15.00,0.00
154,0,23,1,20,1,0,1133,3,0,-18.00,9.00,-18.00,0.00
154,0,24,1,20,0,1,698,1,1,13.00,13.00,0.00,5.00
154,0,25,1,20,1,1,1448,1,1,2.00,2.00,-0.75,0.00
154,0,26,1,20,1,1,677,0,0,-6.00,12.00,-6.00,0.00
154,0,27,1,20,0,1,675,0,0,0.00,8.00,0.00,3.00
154,0,28,1,20,1,1,849,1,1,8.00,8.00,-6.00,0.00
154,0,29,1,20,1,0,727,3,0,-5.00,4.00,-5.00,0.00
154,0,30,1,20,1,0,1300,3,0,-6.00,6.00,-6.00,0.00
154,0,1,1,20,1,0,1184,3,1,9.00,9.00,-11.25,0.00
154,0,2,1,20,1,0,621,3,1,12.00,12.00,-21.00,0.00
154,0,3,1,20,1,1,707,1,1,5.00,5.00,-6.88,0.00
154,0,4,1,20,1,1,855,0,0,-3.00,12.00,-3.00,0.00
154,0,5,1,20,0,1,1332,1,1,5.00,5.00,0.00,2.00
154,0,6,1,20,1,1,1459,0,0,-6.75,9.00,-6.75,0.00
154,0,7,1,20,0,1,592,0,0,0.00,26.00,0.00,10.00
154,0,8,1,20,1,1,734,1,1,8.00,8.00,-3.00,0.00
154,0,9,1,20,0,1,691,1,1,19.00,19.00,0.00,8.00
154,0,10,1,20,0,1,601,0,0,0.00,25.00,0.00,10.00
154,0,11,1,20,1,,0,,0,-1.88,5.00,-1.88,0.00
154,0,12,1,20,1,0,396,3,0,-2.75,2.00,-2.75,0.00
154,0,13,1,20,1,0,650,3,1,2.00,2.00,-1.75,0.00
154,0,14,1,20,1,0,368,3,0,-11.25,10.00,-11.25,0.00
154,0,15,1,20,0,1,517,0,0,0.00,5.00,0.00,3.00
154,0,16,1,20,1,1,354,1,1,9.00,9.00,-2.25,0.00
154,0,17,1,20,1,0,328,3,0,-11.00,8.00,-11.00,0.00
154,0,18,1,20,1,1,590,1,1,4.00,4.00,-3.00,0.00
154,0,19,1,20,1,1,779,1,1,6.00,6.00,-1.50,0.00
154,0,20,1,20,1,0,321,3,0,-13.50,9.00,-13.50,0.00
154,0,21,1,20,1,0,655,3,0,-5.63,5.00,-5.63,0.00
154,0,22,1,20,1,1,476,0,0,-3.00,6.00,-3.00,0.00
154,0,23,1,20,1,0,1106,3,1,10.00,10.00,-16.25,0.00
154,0,24,1,20,1,1,519,1,1,5.00,5.00,-2.50,0.00
154,0,25,1,20,0,1,1189,0,0,0.00,28.00,0.00,13.00
154,0,26,1,20,1,1,363,1,1,10.00,10.00,-6.25,0.00
154,0,27,1,20,0,1,441,0,0,0.00,12.00,0.00,5.00
154,0,28,1,20,1,0,567,3,0,-12.00,12.00,-12.00,0.00
154,0,29,1,20,1,0,532,3,1,4.00,4.00,-6.00,0.00
154,0,30,1,20,1,0,625,3,1,6.00,6.00,-7.50,0.00
154,-1,1,1,20,1,0,1050,3,1,8.00,8.00,-9.00,0.00
154,-1,2,1,20,1,0,503,3,0,-3.75,2.00,-3.75,0.00
154,-1,3,1,20,0,1,477,1,1,12.00,12.00,0.00,4.00
154,-1,4,1,20,0,1,747,0,0,0.00,22.00,0.00,13.00
154,-1,5,1,20,1,1,593,0,0,-4.38,5.00,-4.38,0.00
154,-1,6,1,20,1,0,421,3,0,-18.75,10.00,-18.75,0.00
154,-1,7,1,20,1,0,291,3,1,9.00,9.00,-9.00,0.00
154,-1,8,1,20,1,1,801,0,0,-1.25,2.00,-1.25,0.00
154,-1,9,1,20,1,1,774,1,1,4.00,4.00,-1.00,0.00
154,-1,10,1,20,1,0,539,3,0,-13.00,8.00,-13.00,0.00
154,-1,11,1,20,1,1,449,1,1,8.00,8.00,-2.00,0.00
